asset_description,asset_abbreviation,system,ifc_class,ifc_type,haystack_tag,brick_parent,brick_child,uniclass_parent,uniclass_product,uniclass_code
grease waste interceptor,GI,PH,IfcInterceptor,GREASE,,,,Drainage traps and accessories,Free-standing grease traps and converters,Pr_65_52_25_32
heat emitters - duct heater,DH,HVAC,IfcSpaceHeater,NOTDEFINED,duct,,,,,
heat emitters - electric unit heater,EUH,HVAC,ifcSpaceHeater,NOTDEFINED,, Space Heater,,Heat emitters,Unit heaters,Pr_70_60_36_93
heat emitters - gas unit heater,GUH,HVAC,IfcSpaceHeater,NOTDEFINED,,,,,,
heat emitters - heater,HTR,HVAC,IfcSpaceHeater,NOTDEFINED,, Space Heater,,Heat emitters,Room heaters,Pr_70_60_36_74
heat emitters - hydronic trench convector,TC,HVAC,IfcSpaceHeater,NOTDEFINED,, Space Heater,,Heat emitters,Trench convectors,Pr_70_60_36_90
heat emitters - trace heating,EHT,"HVAC, PH", - , - ,,,,Heat emitters,Self-regulating trace heating cables,Pr_70_60_36_76
heat emitters - trench heating,TRH,HVAC,ifcSpaceHeater,NOTDEFINED,,,,Heat emitters,Fan convectors,Pr_70_60_36_30
heat exchanger,HXP,"HVAC, PH",IfcHeatExchanger,NOTDEFINED,heatExchanger,"HX, Heat Exchanger",,,,
heat pumps - heat pump,HP,HVAC,IfcUnitaryEquipment,,, airHandlingEquip,heatPump,,,
high level interface,HLI,"HVAC Controls, LC, EM, ITC, Fire, Security, Electrical, Transportation, Facade, AV, ES",IfcController,PROGRAMMABLE,networking-device,,,,,
horn strobe,HS,"Fire, Security",,,,,,,,
human machine interface,HMI,"HVAC Control, LC, EM, Electrical, ITC, Security, Fire, Transportation, AV",IfcCommunicationsAppliance,NOTDEFINED,,,,,,
humidifier,HUM,HVAC,IfcHumidifier,NOTDEFINED,humidifier-equip,Humidifier ,,Air and fume distribution products,Humidifiers and dehumidifiers,Pr_65_67_39
itc - software-defined networking controller,SDNC,ITC,,,,,,,,
itc equipment - ethernet switch,ETS,ITC,ifcCommunicationsAppliance,NETWORKBRIDGE,networking-switch,,,Mesh network products,Network switches,Pr_70_75_52_56
itc equipment - intermediate distribution frame,IDF,ITC,IfcCommunicationsAppliance,NOTDEFINED,,,,,,
itc equipment - network firewall,FW,ITC,IfcCommunicationsAppliance,NETWORKAPPLIANCE,,,,,,
itc equipment - network router,RTR,ITC,IfcCommunicationsAppliance,ROUTER,networking-router,,,,,
itc equipment - power-over-ethernet network switch,POEETS,ITC,IfcCommunicationsAppliance,,,,,,,
itc equipment - wi-fi router,WRTR,ITC,IfcCommunicationsAppliance,ROUTER,router,,,,,
itc equipment - wireless access point,WAP,ITC,IfcCommunicationsAppliance,ROUTER,router,,,,,
lighting - illuminated exit sign,EXIT,Electrical,IfcLightFixture,SECURITYLIGHTING,luminaire,Lighting Equipment,Lighting,Electrical services signs,Externally illuminated emergency exit signs,Pr_40_10_27_28
lighting - lighting control module,LCM,LC,IfcUnitaryControlElement,NOTDEFINED,controller,,,,,
lighting - lighting control panel,LCP,LC,IfcUnitaryControlElement,NOTDEFINED,controls-panel,,,Lighting controls and lighting distribution products,Centralized lighting controllers,Pr_70_70_47_12
lighting - lighting fixture,LT,"Electrical, LC",IfcLightFixture,NOTDEFINED,luminaire,Lighting,Luminaire,,,
lighting - lighting gateway,LTGW,LC,IfcCommunicationsAppliance,GATEWAY,networking-device,,,,,
lighting - lighting keypad,LKP,LC,IfcSwitchingDevice,KEYPAD,,Interface,Touchpanel,,,
meter,MTR,EM,IfcFlowMeter,NOTDEFINED,meter,Meter,,Measuring and metering products,Metering and test products,Pr_80_51_51_28
meter - electrical meter,EM,"Electrical, EM",IfcFlowMeter,ENERGYMETER,elec-meter,Meter,Electrical Meter,Metering and test products,Energy meters,Pr_80_51_51_28
meter - flow meter,FM,"HVAC, PH, EM",IfcFlowMeter,NOTDEFINED,flow-meter,Meter,,Metering and test products,Mass flowmeters,Pr_80_51_51_50
meter - gas meter,GM,"EM, HVAC",IfcFlowMeter,GASMETER,flow-meter,Meter,Gas Meter,Metering and test products,Gas meters,Pr_80_51_51_33
meter - heat meter,HM,"EM, HVAC",IfcFlowMeter,NOTDEFINED,thermal-meter,Meter,,Metering and test products,Heat meters,Pr_80_51_51_37
meter - water meter,WM,"HVAC, PH",IfcFlowMeter,WATERMETER,flow-meter,Meter,Water Meter,Metering and test products,Water meters,Pr_80_51_51_97
motor controller - vsd (inverter drive),VSD,"HVAC, PH",IfcMotorConnection,NOTDEFINED,vfd,VFD,,,,
natural air ventilator,AVR,HVAC,ifcStackTerminal,NOTDEFINED,,,,,,
oil interceptor,OI,Electrical,IfcInterceptor,OIL,,,,,,
outlet,OUT,Electrical,IfcOutlet,NOTDEFINED,,,,,,
outlet - ceiling duplex,CGDXO,Electrical,IfcOutlet,POWEROUTLET,,,,Wiring accessories,Multi-gang power outlets,Pr_65_72_97_52
outlet - controlled duplex,CNDO,Electrical,IfcOutlet,DATAOUTLET,,,,Wiring accessories,Multi-gang power outlets,Pr_65_72_97_52
outlet - data wall outlet,DATA,ITC,IfcOutlet,DATAOUTLET,,,,"Audio, data and visual outlet plates and controllers",Telecommunications outlet plates,Pr_70_75_04_88
outlet - double 20A duplex receptacle,DDR,Electrical,IfcOutlet,POWEROUTLET,,,,Wiring accessories,Multi-gang power outlets,Pr_65_72_97_52
outlet - duplex outlets,DXO,Electrical,IfcOutlet,POWEROUTLET,,,,Wiring accessories,Multi-gang power outlets,Pr_65_72_97_52
outlet - floor duplex outlet,FLRDX,Electrical,IfcOutlet,DATAOUTLET,,,,Wiring accessories,Multi-gang power outlets,Pr_65_72_97_52
outlet - floor quad outlet,FLRQD,Electrical,IfcOutlet,DATAOUTLET,,,,Wiring accessories,Multi-gang power outlets,Pr_65_72_97_52
outlet - linear electrical receptacle,LER,Electrical,IfcOutlet,,,,,,,
outlet - raised floor box,FLRB,Electrical,IfcOutlet,NOTDEFINED,,,,,,
panel - alarm panel,AP,"HVAC Control, Fire, BMS",IfcUnitaryControlElement,ALARMPANEL,panel,,,,,
panel - chemical treatment control panel,CTCP,HVAC,IfcUnitaryControlElement,NOTDEFINED,controls-panel,,,,,
panel - control panel,CTRP,"HVAC Controls, PH, BMS, LC, Fire, Facade, ITC, AV, Electrical",IfcUnitaryControlElement,CONTROLPANEL,controls-panel,,,,,
